crop_name,amount_usd,amount_tzs,trading_hub,recorded_date
CASHEW,91.39,237614.00,Dar Es Salaam Wholesale,2023-08-14
CASHEW,86.97,226122.00,Mwanza Central Hub,2023-08-14
CASHEW,94.09,244634.00,Arusha North Hub,2023-08-14
CASHEW,89.66,233116.00,Dodoma Wholesale Hub,2023-08-14
CASHEW,85.23,221598.00,Mbeya Border Market,2023-08-14
CASHEW,90.57,235482.00,Tanga Coastal Exchange,2023-08-14
CASHEW,83.47,217022.00,Tabora Grain Yard,2023-08-14
CASHEW,93.24,242424.00,Kigoma Lake Hub,2023-08-14
COCONUT,71.18,185068.00,Dar Es Salaam Wholesale,2023-08-14
COCONUT,67.68,175968.00,Mwanza Central Hub,2023-08-14
COCONUT,73.16,190216.00,Arusha North Hub,2023-08-14
COCONUT,69.66,181116.00,Dodoma Wholesale Hub,2023-08-14
COCONUT,66.17,172042.00,Mbeya Border Market,2023-08-14
COCONUT,70.27,182702.00,Tanga Coastal Exchange,2023-08-14
COCONUT,64.72,168272.00,Tabora Grain Yard,2023-08-14
COCONUT,72.26,187876.00,Kigoma Lake Hub,2023-08-14
MAIZE,43.78,113828.00,Dar Es Salaam Wholesale,2023-08-21
MAIZE,41.68,108368.00,Mwanza Central Hub,2023-08-21
MAIZE,45.11,117286.00,Arusha North Hub,2023-08-21
MAIZE,43.00,111800.00,Dodoma Wholesale Hub,2023-08-21
MAIZE,40.90,106340.00,Mbeya Border Market,2023-08-21
MAIZE,43.47,113022.00,Tanga Coastal Exchange,2023-08-21
MAIZE,40.08,104208.00,Tabora Grain Yard,2023-08-21
MAIZE,44.79,116454.00,Kigoma Lake Hub,2023-08-21
RICE,54.84,142584.00,Dar Es Salaam Wholesale,2023-08-21
RICE,52.12,135512.00,Mwanza Central Hub,2023-08-21
RICE,56.32,146432.00,Arusha North Hub,2023-08-21
RICE,53.61,139386.00,Dodoma Wholesale Hub,2023-08-21
RICE,50.91,132366.00,Mbeya Border Market,2023-08-21
RICE,54.04,140504.00,Tanga Coastal Exchange,2023-08-21
RICE,49.75,129350.00,Tabora Grain Yard,2023-08-21
RICE,55.53,144378.00,Kigoma Lake Hub,2023-08-21
BEANS,61.04,158704.00,Dar Es Salaam Wholesale,2023-08-21
BEANS,58.16,151216.00,Mwanza Central Hub,2023-08-21
BEANS,62.99,163774.00,Arusha North Hub,2023-08-21
BEANS,60.09,156234.00,Dodoma Wholesale Hub,2023-08-21
BEANS,57.19,148694.00,Mbeya Border Market,2023-08-21
BEANS,60.84,158184.00,Tanga Coastal Exchange,2023-08-21
BEANS,56.14,145964.00,Tabora Grain Yard,2023-08-21
BEANS,62.78,163228.00,Kigoma Lake Hub,2023-08-21
WHEAT,40.69,105794.00,Dar Es Salaam Wholesale,2023-08-21
WHEAT,38.66,100516.00,Mwanza Central Hub,2023-08-21
WHEAT,41.75,108550.00,Arusha North Hub,2023-08-21
WHEAT,39.72,103272.00,Dodoma Wholesale Hub,2023-08-21
WHEAT,37.70,98020.00,Mbeya Border Market,2023-08-21
WHEAT,40.00,104000.00,Tanga Coastal Exchange,2023-08-21
WHEAT,36.81,95706.00,Tabora Grain Yard,2023-08-21
WHEAT,41.05,106730.00,Kigoma Lake Hub,2023-08-21
SORGHUM,34.95,90870.00,Dar Es Salaam Wholesale,2023-08-21
SORGHUM,33.31,86606.00,Mwanza Central Hub,2023-08-21
SORGHUM,36.08,93808.00,Arusha North Hub,2023-08-21
SORGHUM,31.79,82654.00,Dodoma Wholesale Hub,2023-08-21
SORGHUM,30.26,78676.00,Mbeya Border Market,2023-08-21
SORGHUM,32.21,83746.00,Tanga Coastal Exchange,2023-08-21
SORGHUM,29.73,77298.00,Tabora Grain Yard,2023-08-21
SORGHUM,33.26,86476.00,Kigoma Lake Hub,2023-08-21
CASSAVA,25.05,65130.00,Dar Es Salaam Wholesale,2023-08-21
CASSAVA,23.80,61880.00,Mwanza Central Hub,2023-08-21
CASSAVA,25.70,66820.00,Arusha North Hub,2023-08-21
CASSAVA,24.45,63570.00,Dodoma Wholesale Hub,2023-08-21
CASSAVA,23.20,60320.00,Mbeya Border Market,2023-08-21
CASSAVA,24.62,64012.00,Tanga Coastal Exchange,2023-08-21
CASSAVA,22.65,58890.00,Tabora Grain Yard,2023-08-21
CASSAVA,25.26,65676.00,Kigoma Lake Hub,2023-08-21
POTATO,31.01,80626.00,Dar Es Salaam Wholesale,2023-08-21
POTATO,29.54,76804.00,Mwanza Central Hub,2023-08-21
POTATO,31.99,83174.00,Arusha North Hub,2023-08-21
POTATO,30.53,79378.00,Dodoma Wholesale Hub,2023-08-21
POTATO,29.05,75530.00,Mbeya Border Market,2023-08-21
POTATO,30.91,80366.00,Tanga Coastal Exchange,2023-08-21
POTATO,28.52,74152.00,Tabora Grain Yard,2023-08-21
POTATO,31.91,82966.00,Kigoma Lake Hub,2023-08-21
GROUNDNUT,78.59,204334.00,Dar Es Salaam Wholesale,2023-08-21
GROUNDNUT,74.71,194246.00,Mwanza Central Hub,2023-08-21
GROUNDNUT,80.73,209898.00,Arusha North Hub,2023-08-21
GROUNDNUT,76.85,199810.00,Dodoma Wholesale Hub,2023-08-21
GROUNDNUT,72.98,189748.00,Mbeya Border Market,2023-08-21
GROUNDNUT,77.46,201396.00,Tanga Coastal Exchange,2023-08-21
GROUNDNUT,71.31,185406.00,Tabora Grain Yard,2023-08-21
GROUNDNUT,79.58,206908.00,Kigoma Lake Hub,2023-08-21
SUNFLOWER,56.52,146952.00,Dar Es Salaam Wholesale,2023-08-21
SUNFLOWER,53.80,139880.00,Mwanza Central Hub,2023-08-21
SUNFLOWER,58.22,151372.00,Arusha North Hub,2023-08-21
SUNFLOWER,55.51,144326.00,Dodoma Wholesale Hub,2023-08-21
SUNFLOWER,52.79,137254.00,Mbeya Border Market,2023-08-21
SUNFLOWER,56.12,145912.00,Tanga Coastal Exchange,2023-08-21
SUNFLOWER,51.75,134550.00,Tabora Grain Yard,2023-08-21
SUNFLOWER,57.85,150410.00,Kigoma Lake Hub,2023-08-21
COFFEE,85.16,221416.00,Dar Es Salaam Wholesale,2023-08-21
COFFEE,81.03,210678.00,Mwanza Central Hub,2023-08-21
COFFEE,87.64,227864.00,Arusha North Hub,2023-08-21
COFFEE,83.50,217100.00,Dodoma Wholesale Hub,2023-08-21
COFFEE,79.36,206336.00,Mbeya Border Market,2023-08-21
COFFEE,84.31,219206.00,Tanga Coastal Exchange,2023-08-21
COFFEE,77.69,201994.00,Tabora Grain Yard,2023-08-21
COFFEE,86.76,225576.00,Kigoma Lake Hub,2023-08-21
CASHEW,84.84,220584.00,Dar Es Salaam Wholesale,2023-08-21
CASHEW,80.68,209768.00,Mwanza Central Hub,2023-08-21
CASHEW,87.23,226798.00,Arusha North Hub,2023-08-21
CASHEW,83.08,216008.00,Dodoma Wholesale Hub,2023-08-21
CASHEW,78.93,205218.00,Mbeya Border Market,2023-08-21
CASHEW,83.83,217958.00,Tanga Coastal Exchange,2023-08-21
CASHEW,77.23,200798.00,Tabora Grain Yard,2023-08-21
CASHEW,86.24,224224.00,Kigoma Lake Hub,2023-08-21
COCONUT,75.41,196066.00,Dar Es Salaam Wholesale,2023-08-21
COCONUT,71.82,186732.00,Mwanza Central Hub,2023-08-21
COCONUT,77.75,202150.00,Arusha North Hub,2023-08-21
COCONUT,74.14,192764.00,Dodoma Wholesale Hub,2023-08-21
COCONUT,70.53,183378.00,Mbeya Border Market,2023-08-21
COCONUT,75.00,195000.00,Tanga Coastal Exchange,2023-08-21
COCONUT,69.17,179842.00,Tabora Grain Yard,2023-08-21
COCONUT,77.32,201032.00,Kigoma Lake Hub,2023-08-21
MAIZE,41.22,107172.00,Dar Es Salaam Wholesale,2023-08-28
MAIZE,39.19,101894.00,Mwanza Central Hub,2023-08-28
MAIZE,42.35,110110.00,Arusha North Hub,2023-08-28
MAIZE,40.32,104832.00,Dodoma Wholesale Hub,2023-08-28
MAIZE,38.29,99554.00,Mbeya Border Market,2023-08-28
MAIZE,40.65,105690.00,Tanga Coastal Exchange,2023-08-28
MAIZE,37.44,97344.00,Tabora Grain Yard,2023-08-28
MAIZE,41.79,108654.00,Kigoma Lake Hub,2023-08-28
RICE,56.68,147368.00,Dar Es Salaam Wholesale,2023-08-28
RICE,53.99,140374.00,Mwanza Central Hub,2023-08-28
RICE,58.47,152022.00,Arusha North Hub,2023-08-28
RICE,55.78,145028.00,Dodoma Wholesale Hub,2023-08-28
RICE,53.08,138008.00,Mbeya Border Market,2023-08-28
RICE,56.46,146796.00,Tanga Coastal Exchange,2023-08-28
RICE,52.08,135408.00,Tabora Grain Yard,2023-08-28
RICE,58.24,151424.00,Kigoma Lake Hub,2023-08-28
BEANS,61.52,159952.00,Dar Es Salaam Wholesale,2023-08-28
BEANS,58.45,151970.00,Mwanza Central Hub,2023-08-28
BEANS,63.13,164138.00,Arusha North Hub,2023-08-28
BEANS,60.06,156156.00,Dodoma Wholesale Hub,2023-08-28
BEANS,57.01,148226.00,Mbeya Border Market,2023-08-28
BEANS,60.49,157274.00,Tanga Coastal Exchange,2023-08-28
BEANS,55.67,144742.00,Tabora Grain Yard,2023-08-28
BEANS,62.09,161434.00,Kigoma Lake Hub,2023-08-28
WHEAT,38.59,100334.00,Dar Es Salaam Wholesale,2023-08-28
WHEAT,36.77,95602.00,Mwanza Central Hub,2023-08-28
WHEAT,39.84,103584.00,Arusha North Hub,2023-08-28
WHEAT,38.02,98852.00,Dodoma Wholesale Hub,2023-08-28
WHEAT,36.20,94120.00,Mbeya Border Market,2023-08-28
WHEAT,38.53,100178.00,Tanga Coastal Exchange,2023-08-28
WHEAT,35.56,92456.00,Tabora Grain Yard,2023-08-28
WHEAT,39.79,103454.00,Kigoma Lake Hub,2023-08-28
SORGHUM,33.02,85852.00,Dar Es Salaam Wholesale,2023-08-28
SORGHUM,31.37,81562.00,Mwanza Central Hub,2023-08-28
SORGHUM,33.88,88088.00,Arusha North Hub,2023-08-28
SORGHUM,32.23,83798.00,Dodoma Wholesale Hub,2023-08-28
SORGHUM,30.58,79508.00,Mbeya Border Market,2023-08-28
SORGHUM,32.44,84344.00,Tanga Coastal Exchange,2023-08-28
SORGHUM,29.85,77610.00,Tabora Grain Yard,2023-08-28
SORGHUM,33.29,86554.00,Kigoma Lake Hub,2023-08-28
CASSAVA,25.35,65910.00,Dar Es Salaam Wholesale,2023-08-28
CASSAVA,24.16,62816.00,Mwanza Central Hub,2023-08-28
CASSAVA,26.16,68016.00,Arusha North Hub,2023-08-28
CASSAVA,24.96,64896.00,Dodoma Wholesale Hub,2023-08-28
CASSAVA,23.76,61776.00,Mbeya Border Market,2023-08-28
CASSAVA,25.28,65728.00,Tanga Coastal Exchange,2023-08-28
CASSAVA,23.33,60658.00,Tabora Grain Yard,2023-08-28
CASSAVA,26.10,67860.00,Kigoma Lake Hub,2023-08-28
POTATO,31.94,83044.00,Dar Es Salaam Wholesale,2023-08-28
POTATO,30.35,78910.00,Mwanza Central Hub,2023-08-28
POTATO,32.80,85280.00,Arusha North Hub,2023-08-28
POTATO,31.22,81172.00,Dodoma Wholesale Hub,2023-08-28
POTATO,29.64,77064.00,Mbeya Border Market,2023-08-28
POTATO,31.45,81770.00,Tanga Coastal Exchange,2023-08-28
POTATO,28.95,75270.00,Tabora Grain Yard,2023-08-28
POTATO,32.30,83980.00,Kigoma Lake Hub,2023-08-28
GROUNDNUT,74.12,192712.00,Dar Es Salaam Wholesale,2023-08-28
GROUNDNUT,70.57,183482.00,Mwanza Central Hub,2023-08-28
GROUNDNUT,76.39,198614.00,Arusha North Hub,2023-08-28
GROUNDNUT,72.84,189384.00,Dodoma Wholesale Hub,2023-08-28
GROUNDNUT,69.29,180154.00,Mbeya Border Market,2023-08-28
GROUNDNUT,73.68,191568.00,Tanga Coastal Exchange,2023-08-28
GROUNDNUT,67.95,176670.00,Tabora Grain Yard,2023-08-28
GROUNDNUT,75.97,197522.00,Kigoma Lake Hub,2023-08-28
SUNFLOWER,61.02,158652.00,Dar Es Salaam Wholesale,2023-08-28
SUNFLOWER,58.05,150930.00,Mwanza Central Hub,2023-08-28
SUNFLOWER,62.77,163202.00,Arusha North Hub,2023-08-28
SUNFLOWER,59.79,155454.00,Dodoma Wholesale Hub,2023-08-28
SUNFLOWER,56.82,147732.00,Mbeya Border Market,2023-08-28
SUNFLOWER,60.35,156910.00,Tanga Coastal Exchange,2023-08-28
SUNFLOWER,55.60,144560.00,Tabora Grain Yard,2023-08-28
SUNFLOWER,62.08,161408.00,Kigoma Lake Hub,2023-08-28
COFFEE,78.78,204828.00,Dar Es Salaam Wholesale,2023-08-28
COFFEE,74.94,194844.00,Mwanza Central Hub,2023-08-28
COFFEE,81.03,210678.00,Arusha North Hub,2023-08-28
COFFEE,77.19,200694.00,Dodoma Wholesale Hub,2023-08-28
COFFEE,73.36,190736.00,Mbeya Border Market,2023-08-28
COFFEE,77.93,202618.00,Tanga Coastal Exchange,2023-08-28
COFFEE,71.81,186706.00,Tabora Grain Yard,2023-08-28
COFFEE,80.20,208520.00,Kigoma Lake Hub,2023-08-28
CASHEW,90.73,235898.00,Dar Es Salaam Wholesale,2023-08-28
CASHEW,86.39,224614.00,Mwanza Central Hub,2023-08-28
CASHEW,93.51,243126.00,Arusha North Hub,2023-08-28
CASHEW,89.15,231790.00,Dodoma Wholesale Hub,2023-08-28
CASHEW,84.80,220480.00,Mbeya Border Market,2023-08-28
CASHEW,90.15,234390.00,Tanga Coastal Exchange,2023-08-28
CASHEW,83.13,216138.00,Tabora Grain Yard,2023-08-28
CASHEW,92.91,241566.00,Kigoma Lake Hub,2023-08-28
COCONUT,72.50,188500.00,Dar Es Salaam Wholesale,2023-08-28
COCONUT,68.90,179140.00,Mwanza Central Hub,2023-08-28
COCONUT,74.44,193544.00,Arusha North Hub,2023-08-28
COCONUT,70.85,184210.00,Dodoma Wholesale Hub,2023-08-28
COCONUT,67.27,174902.00,Mbeya Border Market,2023-08-28
COCONUT,71.40,185640.00,Tanga Coastal Exchange,2023-08-28
COCONUT,65.73,170898.00,Tabora Grain Yard,2023-08-28
COCONUT,73.35,190710.00,Kigoma Lake Hub,2023-08-28
MAIZE,41.88,108888.00,Dar Es Salaam Wholesale,2023-09-04
MAIZE,39.89,103714.00,Mwanza Central Hub,2023-09-04
MAIZE,43.19,112294.00,Arusha North Hub,2023-09-04
MAIZE,41.19,107094.00,Dodoma Wholesale Hub,2023-09-04
MAIZE,39.19,101894.00,Mbeya Border Market,2023-09-04
MAIZE,41.68,108368.00,Tanga Coastal Exchange,2023-09-04
MAIZE,38.45,99970.00,Tabora Grain Yard,2023-09-04
MAIZE,42.98,111748.00,Kigoma Lake Hub,2023-09-04
RICE,55.48,144248.00,Dar Es Salaam Wholesale,2023-09-04
RICE,52.72,137072.00,Mwanza Central Hub,2023-09-04
RICE,56.94,148044.00,Arusha North Hub,2023-09-04
RICE,54.18,140868.00,Dodoma Wholesale Hub,2023-09-04
RICE,51.43,133718.00,Mbeya Border Market,2023-09-04
RICE,54.58,141908.00,Tanga Coastal Exchange,2023-09-04
RICE,50.23,130598.00,Tabora Grain Yard,2023-09-04
RICE,56.04,145704.00,Kigoma Lake Hub,2023-09-04
BEANS,60.22,156572.00,Dar Es Salaam Wholesale,2023-09-04
BEANS,57.39,149214.00,Mwanza Central Hub,2023-09-04
BEANS,62.17,161642.00,Arusha North Hub,2023-09-04
BEANS,59.33,154258.00,Dodoma Wholesale Hub,2023-09-04
BEANS,56.48,146848.00,Mbeya Border Market,2023-09-04
BEANS,60.11,156286.00,Tanga Coastal Exchange,2023-09-04
BEANS,55.48,144248.00,Tabora Grain Yard,2023-09-04
BEANS,62.06,161356.00,Kigoma Lake Hub,2023-09-04
WHEAT,39.89,103714.00,Dar Es Salaam Wholesale,2023-09-04
WHEAT,37.89,98514.00,Mwanza Central Hub,2023-09-04
WHEAT,40.92,106392.00,Arusha North Hub,2023-09-04
WHEAT,38.93,101218.00,Dodoma Wholesale Hub,2023-09-04
WHEAT,36.94,96044.00,Mbeya Border Market,2023-09-04
WHEAT,42.45,110370.00,Tanga Coastal Exchange,2023-09-04
WHEAT,39.06,101556.00,Tabora Grain Yard,2023-09-04
WHEAT,43.56,113256.00,Kigoma Lake Hub,2023-09-04
SORGHUM,35.49,92274.00,Dar Es Salaam Wholesale,2023-09-04
SORGHUM,33.82,87932.00,Mwanza Central Hub,2023-09-04
SORGHUM,36.63,95238.00,Arusha North Hub,2023-09-04
SORGHUM,34.96,90896.00,Dodoma Wholesale Hub,2023-09-04
SORGHUM,33.27,86502.00,Mbeya Border Market,2023-09-04
SORGHUM,35.41,92066.00,Tanga Coastal Exchange,2023-09-04
SORGHUM,32.68,84968.00,Tabora Grain Yard,2023-09-04
SORGHUM,36.56,95056.00,Kigoma Lake Hub,2023-09-04
CASSAVA,26.73,69498.00,Dar Es Salaam Wholesale,2023-09-04
CASSAVA,25.40,66040.00,Mwanza Central Hub,2023-09-04
CASSAVA,27.44,71344.00,Arusha North Hub,2023-09-04
CASSAVA,26.11,67886.00,Dodoma Wholesale Hub,2023-09-04
CASSAVA,24.79,64454.00,Mbeya Border Market,2023-09-04
CASSAVA,26.31,68406.00,Tanga Coastal Exchange,2023-09-04
CASSAVA,24.21,62946.00,Tabora Grain Yard,2023-09-04
CASSAVA,27.01,70226.00,Kigoma Lake Hub,2023-09-04
POTATO,31.32,81432.00,Dar Es Salaam Wholesale,2023-09-04
POTATO,29.82,77532.00,Mwanza Central Hub,2023-09-04
POTATO,32.29,83954.00,Arusha North Hub,2023-09-04
POTATO,30.79,80054.00,Dodoma Wholesale Hub,2023-09-04
POTATO,29.30,76180.00,Mbeya Border Market,2023-09-04
POTATO,31.16,81016.00,Tanga Coastal Exchange,2023-09-04
POTATO,28.74,74724.00,Tabora Grain Yard,2023-09-04
POTATO,32.14,83564.00,Kigoma Lake Hub,2023-09-04
GROUNDNUT,80.38,208988.00,Dar Es Salaam Wholesale,2023-09-04
GROUNDNUT,76.45,198770.00,Mwanza Central Hub,2023-09-04
GROUNDNUT,82.66,214916.00,Arusha North Hub,2023-09-04
GROUNDNUT,78.72,204672.00,Dodoma Wholesale Hub,2023-09-04
GROUNDNUT,74.79,194454.00,Mbeya Border Market,2023-09-04
GROUNDNUT,79.42,206492.00,Tanga Coastal Exchange,2023-09-04
GROUNDNUT,73.16,190216.00,Tabora Grain Yard,2023-09-04
GROUNDNUT,81.67,212342.00,Kigoma Lake Hub,2023-09-04
SUNFLOWER,55.84,145184.00,Dar Es Salaam Wholesale,2023-09-04
SUNFLOWER,53.13,138138.00,Mwanza Central Hub,2023-09-04
SUNFLOWER,57.46,149396.00,Arusha North Hub,2023-09-04
SUNFLOWER,54.75,142350.00,Dodoma Wholesale Hub,2023-09-04
SUNFLOWER,52.04,135304.00,Mbeya Border Market,2023-09-04
SUNFLOWER,55.29,143754.00,Tanga Coastal Exchange,2023-09-04
SUNFLOWER,50.96,132496.00,Tabora Grain Yard,2023-09-04
SUNFLOWER,56.93,148018.00,Kigoma Lake Hub,2023-09-04
COFFEE,82.51,214526.00,Dar Es Salaam Wholesale,2023-09-04
COFFEE,78.55,204230.00,Mwanza Central Hub,2023-09-04
COFFEE,85.00,221000.00,Arusha North Hub,2023-09-04
COFFEE,81.03,210678.00,Dodoma Wholesale Hub,2023-09-04
COFFEE,77.06,200356.00,Mbeya Border Market,2023-09-04
COFFEE,81.91,212966.00,Tanga Coastal Exchange,2023-09-04
COFFEE,75.51,196326.00,Tabora Grain Yard,2023-09-04
COFFEE,84.38,219388.00,Kigoma Lake Hub,2023-09-04
CASHEW,82.83,215358.00,Dar Es Salaam Wholesale,2023-09-04
CASHEW,78.73,204698.00,Mwanza Central Hub,2023-09-04
CASHEW,85.08,221208.00,Arusha North Hub,2023-09-04
CASHEW,80.99,210574.00,Dodoma Wholesale Hub,2023-09-04
CASHEW,76.90,199940.00,Mbeya Border Market,2023-09-04
CASHEW,81.64,212264.00,Tanga Coastal Exchange,2023-09-04
CASHEW,75.17,195442.00,Tabora Grain Yard,2023-09-04
CASHEW,83.89,218114.00,Kigoma Lake Hub,2023-09-04
COCONUT,71.05,184730.00,Dar Es Salaam Wholesale,2023-09-04
COCONUT,67.69,175994.00,Mwanza Central Hub,2023-09-04
COCONUT,73.31,190606.00,Arusha North Hub,2023-09-04
COCONUT,69.94,181844.00,Dodoma Wholesale Hub,2023-09-04
COCONUT,66.56,173056.00,Mbeya Border Market,2023-09-04
COCONUT,70.81,184106.00,Tanga Coastal Exchange,2023-09-04
COCONUT,65.34,169884.00,Tabora Grain Yard,2023-09-04
COCONUT,73.07,189982.00,Kigoma Lake Hub,2023-09-04
MAIZE,40.81,106106.00,Dar Es Salaam Wholesale,2023-09-11
MAIZE,38.78,100828.00,Mwanza Central Hub,2023-09-11
MAIZE,41.89,108914.00,Arusha North Hub,2023-09-11
MAIZE,39.87,103662.00,Dodoma Wholesale Hub,2023-09-11
MAIZE,37.85,98410.00,Mbeya Border Market,2023-09-11
MAIZE,40.16,104416.00,Tanga Coastal Exchange,2023-09-11
MAIZE,36.97,96122.00,Tabora Grain Yard,2023-09-11
MAIZE,41.25,107250.00,Kigoma Lake Hub,2023-09-11
RICE,54.74,142324.00,Dar Es Salaam Wholesale,2023-09-11
RICE,52.16,135616.00,Mwanza Central Hub,2023-09-11
RICE,56.50,146900.00,Arusha North Hub,2023-09-11
RICE,53.92,140192.00,Dodoma Wholesale Hub,2023-09-11
RICE,51.32,133432.00,Mbeya Border Market,2023-09-11
RICE,54.61,141986.00,Tanga Coastal Exchange,2023-09-11
RICE,50.40,131040.00,Tabora Grain Yard,2023-09-11
RICE,56.38,146588.00,Kigoma Lake Hub,2023-09-11
BEANS,64.03,166478.00,Dar Es Salaam Wholesale,2023-09-11
BEANS,60.83,158158.00,Mwanza Central Hub,2023-09-11
BEANS,65.69,170794.00,Arusha North Hub,2023-09-11
BEANS,62.50,162500.00,Dodoma Wholesale Hub,2023-09-11
BEANS,59.31,154206.00,Mbeya Border Market,2023-09-11
BEANS,62.92,163592.00,Tanga Coastal Exchange,2023-09-11
BEANS,57.90,150540.00,Tabora Grain Yard,2023-09-11
BEANS,64.57,167882.00,Kigoma Lake Hub,2023-09-11
